Tweet,Fecha,Locacion,Coordenadas
"@bta_Demian Ya son antihigienicos para el wc y contaminantes para el calentador, ambos en desuso, y me imagino los… https://t.co/ahqXEMCoA5",Sun Jul 26 00:28:18 +0000 2020,"Córdoba, Veracruz de Ignacio de la Llave","[[[-97.001897, 18.837368], [-97.001897, 19.013211], [-96.872107, 19.013211], [-96.872107, 18.837368]]]"
"No les pasa que en un día no van al WC 💩 y al otro sacan todo lo de una semana, a mi si 😂",Sat Aug 01 15:58:11 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave","[[[-96.971524, 19.48425], [-96.971524, 19.599858], [-96.800642, 19.599858], [-96.800642, 19.48425]]]"
@AM04611 @avieu @PerMexicum @lopezobrador_ Que rico sería hechar al mojonazo eze al wc y jalarle y ay que drenaje p… https://t.co/z2Bfleq5sF,Sat Aug 01 20:01:36 +0000 2020,Ferreteria Esquina Naranja,"[[[-101.20159, 20.574603], [-101.20159, 20.574603], [-101.20159, 20.574603], [-101.20159, 20.574603]]]"
"Dejar el wc todo orinado ☝💀
Perro asco!!!",Sun Aug 02 19:18:29 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
Ustedes cuando van al WC (baño)  y se sientan en la taza se bajan los bóxer hasta abajo o arriba como yo 😅🤭😈 https://t.co/VbKch4uNnA,Fri Aug 07 21:31:57 +0000 2020,"Tecate, Baja California","[[[-116.784064, 32.174068], [-116.784064, 32.640459], [-115.765888, 32.640459], [-115.765888, 32.174068]]]"
Ustedes cuando van al WC (baño)  y se sientan en la taza se bajan los bóxer hasta abajo o arriba como yo 😅🤭😈… https://t.co/DZzTYUkEJM,Fri Aug 07 21:36:05 +0000 2020,"Tecate, Baja California","[[[-116.784064, 32.174068], [-116.784064, 32.640459], [-115.765888, 32.640459], [-115.765888, 32.174068]]]"
"En esta casa el día del gato se celebra limpiando areneros. El del orgasmo, echando las culpas al WC junto con las cacas de los gatos.",Sat Aug 08 23:19:28 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
Tuiteando desde el wc jajajaja #ExaRiveristas #ExaBFF,Thu Aug 13 23:55:15 +0000 2020,"Ramos Arizpe, Coahuila de Zaragoza","[[[-101.892504, 25.449264], [-101.892504, 26.393426], [-100.579431, 26.393426], [-100.579431, 25.449264]]]"
@CRISTIAN__27__ Más bien las ganas de ir al wc jajajajajja y también la edad,Fri Aug 14 13:07:47 +0000 2020,"Ecatepec de Morelos, México","[[[-99.118665, 19.484399], [-99.118665, 19.652161], [-98.970224, 19.652161], [-98.970224, 19.484399]]]"
Mi apá un día me va venir a quemar el qlo con tanta mamada que le echa al wc y no avisa,Fri Aug 14 22:44:05 +0000 2020,"Culiacán, Sinaloa","[[[-107.806281, 24.028162], [-107.806281, 25.296815], [-106.877832, 25.296815], [-106.877832, 24.028162]]]"
Porque cuando hay gente cerca y estás en el wc haces un escándalo y cuando no ni en cuenta 😖,Mon Aug 17 14:21:40 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave","[[[-96.971524, 19.48425], [-96.971524, 19.599858], [-96.800642, 19.599858], [-96.800642, 19.48425]]]"
"Careta, cubrebocas, traje, botas, y entra al wc y sale sin lavarse las manos... en fin, la hipcresía. https://t.co/EN1x7bPm21",Tue Aug 18 23:19:28 +0000 2020,Aeropuerto Internacional de Monterrey (MTY),"[[[-100.113271, 25.776701], [-100.113271, 25.776701], [-100.113271, 25.776701], [-100.113271, 25.776701]]]"
@BoxerVergaBig A los 9 años con mi primo en el wc d mi casa y parados me dolió hasta el último hueso jeje pero q riko fue,Wed Aug 19 05:05:19 +0000 2020,"Reynosa, Tamaulipas","[[[-98.587332, 25.445849], [-98.587332, 26.227286], [-98.13773, 26.227286], [-98.13773, 25.445849]]]"
@MRKONS Ya siéntese señora... En el WC 🤣,Thu Aug 20 04:36:31 +0000 2020,"Cuajimalpa de Morelos, Distrito Federal","[[[-99.364536, 19.232313], [-99.364536, 19.405081], [-99.246625, 19.405081], [-99.246625, 19.232313]]]"
"@leozuckermann @nexosmexico Relájate payaso.
Chingada revista, ni para el wc de taller mecánico 🤷‍♂️",Fri Aug 21 01:26:12 +0000 2020,"Alvarado, Veracruz de Ignacio de la Llave","[[[-96.11682, 18.554787], [-96.11682, 19.115664], [-95.509639, 19.115664], [-95.509639, 18.554787]]]"
Ya contamos con wc los esperamos a partir de las 10 am hasta 9 pm pueblo nuevo coatepec. Info al 5561390677 en Coat… https://t.co/ONXf0QZcr0,Sun Aug 23 18:28:20 +0000 2020,"Ixtapaluca, México","[[[-98.954037, 19.285882], [-98.954037, 19.43283], [-98.640458, 19.43283], [-98.640458, 19.285882]]]"
"@MarioMal  después de escuchar al diputado no se si reír , llorar o ir al WC dice va a seguir con la lluvia de idea… https://t.co/owY89kAEae",Mon Aug 24 12:02:42 +0000 2020,"Valle de Chalco Solidaridad, México","[[[-98.975864, 19.22413], [-98.975864, 19.340046], [-98.905782, 19.340046], [-98.905782, 19.22413]]]"
"Ja, pregunté usted a otros ! Esos “periodistas” están escondidos en su WC !",Wed Aug 26 02:39:05 +0000 2020,"Tuxtla Gutiérrez, Chiapas","[[[-93.243094, 16.645909], [-93.243094, 16.838962], [-93.036225, 16.838962], [-93.036225, 16.645909]]]"
@manumanito Jajajjajajaja no fui al wc porque llegaron por mi ☹️🥺,Thu Aug 27 17:48:44 +0000 2020,"Colima, México","[[[-103.824474, 18.872415], [-103.824474, 19.328269], [-103.489003, 19.328269], [-103.489003, 18.872415]]]"
